m,fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
10,0.25,9581,7773.643010530275,55.05382141798905,17.7031698599547,35.05144392399329,115.06869625029482,closeness_centrality,0.01511955317990196,0.0034823268459904574,0.03374514285136621
10,0.25,9581,7773.643010530275,55.05382141798905,17.7031698599547,35.05144392399329,115.06869625029482,betweenness_centrality,5.1594087178013304e-05,4.843279436104534e-14,0.0025146308019536774
10,0.25,9581,7773.643010530275,55.05382141798905,17.7031698599547,35.05144392399329,115.06869625029482,eigenvector_centrality,0.0008157500641131132,1.4971082419317968e-09,0.014442437414206071
10,0.3,11018,8324.792751976689,59.256543675084906,19.71395521622141,38.30688147321443,127.80200487520315,degree_centrality,0.07758261963516719,0.03716069095659746,0.13064305414428795
10,0.3,11018,8324.792751976689,59.256543675084906,19.71395521622141,38.30688147321443,127.80200487520315,closeness_centrality,0.019405515183552224,0.0051960717297655674,0.04355995987937721
10,0.3,11018,8324.792751976689,59.256543675084906,19.71395521622141,38.30688147321443,127.80200487520315,betweenness_centrality,5.508508193153627e-05,1.224584249694006e-12,0.0026904352964348638
10,0.3,11018,8324.792751976689,59.256543675084906,19.71395521622141,38.30688147321443,127.80200487520315,eigenvector_centrality,0.0008957182815496848,6.628876999988135e-08,0.016808068899282123
10,0.35,12454,8799.494345791352,62.89989597564976,21.57641820238033,40.772635620680035,134.85347671431734,degree_centrality,0.10540913856228123,0.05240238060676439,0.17781971258528087
10,0.35,12454,8799.494345791352,62.89989597564976,21.57641820238033,40.772635620680035,134.85347671431734,closeness_centrality,0.024525138655427402,0.007531073188622523,0.05235435993269136
10,0.35,12454,8799.494345791352,62.89989597564976,21.57641820238033,40.772635620680035,134.85347671431734,betweenness_centrality,5.766026003037665e-05,8.208082091284522e-14,0.002779597272319023
10,0.35,12454,8799.494345791352,62.89989597564976,21.57641820238033,40.772635620680035,134.85347671431734,eigenvector_centrality,0.000960613258749901,6.096107152029392e-08,0.018215578831640305
10,0.4,13890,9216.69635402643,66.08924242661281,23.20894971149705,42.87738904804745,146.24966748474517,degree_centrality,0.1374834599441945,0.07240205803132205,0.2096095224270576
10,0.4,13890,9216.69635402643,66.08924242661281,23.20894971149705,42.87738904804745,146.24966748474517,closeness_centrality,0.030628263920363177,0.009892209340020648,0.059758542383329345
10,0.4,13890,9216.69635402643,66.08924242661281,23.20894971149705,42.87738904804745,146.24966748474517,betweenness_centrality,5.995950262506808e-05,2.547213903588729e-11,0.0028388155956507173
10,0.4,13890,9216.69635402643,66.08924242661281,23.20894971149705,42.87738904804745,146.24966748474517,eigenvector_centrality,0.0010137239537223708,1.5771613451505749e-07,0.01883805255139242
10,0.45,15326,9588.869293260423,68.9497182673625,24.690427842853254,44.85651742371664,153.9474837003643,degree_centrality,0.17377358429702752,0.08832115611038527,0.2642538023580264
10,0.45,15326,9588.869293260423,68.9497182673625,24.690427842853254,44.85651742371664,153.9474837003643,closeness_centrality,0.037847295092318115,0.015975730679164066,0.07122003104324535
10,0.45,15326,9588.869293260423,68.9497182673625,24.690427842853254,44.85651742371664,153.9474837003643,betweenness_centrality,6.199023406531179e-05,6.352640854252325e-11,0.0029220090310749093
10,0.45,15326,9588.869293260423,68.9497182673625,24.690427842853254,44.85651742371664,153.9474837003643,eigenvector_centrality,0.0010589156799658387,1.5265589540965587e-07,0.020407799484309975
