fraction,number_of_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,mean_degree_centrality,mean_closeness_centrality
0.37,197163,92090.98562930984,169.6161457369789,72.43765020099195,107.31772933299915,513.3665767672024,0.39472072072072073,0.623091054115708
0.38,201962,92806.76571929986,170.98799677963723,73.25769580146945,108.14834355881085,520.5083815271156,0.4043283283283283,0.6268408574098061
0.39,206761,93504.85848546356,172.34059496564257,74.12127087343043,109.42949891136202,523.1481644288657,0.4139359359359359,0.6306363187437393
0.4,211560,94186.11770560204,173.66420639336857,74.97271630505233,110.27840614287773,528.3667877332342,0.42354354354354357,0.6344790462423662
0.41,216359,94851.33674662618,174.95414659791547,75.79525214384152,110.80589631746005,535.2022648583503,0.43315115115115116,0.6383681755009945
0.42,221158,95501.25413688982,176.22374134715028,76.63070752565149,111.68831307790339,546.0244009579923,0.44275875875875875,0.642307206804993
0.43,225957,96136.55851004645,177.44544571080473,77.37924589871704,112.47414779480818,550.9053051337762,0.45236636636636635,0.6462918200437743
0.44,230756,96757.8930036717,178.655249997564,78.18735839000752,113.10155296932032,559.6757256600738,0.461973973973974,0.6503275556200137
0.45,235555,97365.85918329917,179.84674175561506,79.00111559727478,113.64801716373988,567.4574707961116,0.4715815815815816,0.6544142430636377
0.46,240354,97961.02055205683,181.00941623380393,79.75899901545014,113.98437430150176,571.2827307741286,0.4811891891891892,0.6585547874590373
0.47,245153,98543.90569736552,182.13701809996564,80.47246740512367,114.64554729418589,576.567049060474,0.4907967967967968,0.6627440383111517
0.48,249952,99115.01111885133,183.26027608753375,81.24391618789011,115.35575261058918,583.2431628277104,0.5004044044044044,0.6669884168272715
0.49,254751,99674.8037754785,184.364007713405,82.01059524769603,115.86150060812182,584.7091905553583,0.510012012012012,0.6712887884197871
0.5,259550,100223.72338472423,185.43537173515998,82.72343647914833,116.42006655675546,590.5112209248601,0.5196196196196197,0.6756434457347938
0.51,264349,100762.18450222217,186.49201011059205,83.45325976728711,117.14838650725586,592.6618498807985,0.5292272272272273,0.6800551362321929
0.52,269148,101290.57840657036,187.52872552690806,84.15887901594806,117.7415822355097,602.5231746562172,0.5388348348348349,0.6845267052565785
0.53,273947,101809.27481081492,188.54308297762398,84.82493429329581,118.14967938620907,608.7158482762391,0.5484424424424424,0.6890562569713835
0.54,278746,102318.62341940012,189.55178016872435,85.53915311230612,118.49494033331085,616.1357956501839,0.55805005005005,0.6936475559934104
0.55,283545,102818.95534703833,190.52010032193667,86.14160091747293,119.34043722016112,618.1318601206231,0.5676576576576576,0.6982979199019493
0.56,288344,103310.58441394607,191.4824309672106,86.79841736069534,119.83609170455935,623.3986111706689,0.5772652652652652,0.7030100966325588
0.57,293143,103793.80833015667,192.42593366059182,87.43784692752034,120.10781974086605,627.9416399115189,0.5868728728728728,0.707788984476925
0.58,297942,104268.90978012231,193.3603753189576,88.09442820843876,121.01300810163518,632.4253466514953,0.5964804804804805,0.712633861010447
0.59,302741,104736.15741751608,194.2810930992121,88.73142156519826,121.32582453225884,637.4789339640947,0.6060880880880881,0.7175458090707546
0.6,307540,105195.80677901422,195.1627725045825,89.27503517826388,121.89065810545326,642.4592884740815,0.6156956956956957,0.7225230850275229
0.61,312339,105648.10112485288,196.0466167104936,89.86965402747288,122.44464555968344,646.7586966376808,0.6253033033033033,0.7275691796588466
0.62,317138,106093.27221309213,196.92093956444157,90.48119175270938,122.84096738136725,652.2087012416562,0.6349109109109109,0.7326874602429506
0.63,321937,106531.54101376611,197.7810326546216,91.06790416376806,123.37717036115475,659.3436618849171,0.6445185185185185,0.7378789160067682
0.64,326736,106963.11836843625,198.6286680788398,91.64389164939921,123.71327383245797,662.856450249177,0.6541261261261261,0.7431447796475716
0.65,331535,107388.20560008255,199.46259159958896,92.20271688081768,124.04550690502602,666.9099299725767,0.6637337337337337,0.7484864034272711
0.66,336334,107806.99507775485,200.28696911398217,92.77196166442808,124.51358571197339,674.3136008739534,0.6733413413413414,0.753906143295373
0.67,341133,108219.6707399534,201.10945389515956,93.38894873747974,125.06543688399414,682.6632801414872,0.682948948948949,0.7594051805310498
0.68,345932,108626.40858030783,201.9087300440322,93.9376429577165,125.47250683983789,685.402182021052,0.6925565565565566,0.7649826912843781
0.69,350731,109027.37709876761,202.69042249798605,94.46561475685375,125.91817113744345,689.2004794503854,0.7021641641641642,0.7706427639827343
0.7,355530,109422.73772120295,203.46854695432603,94.99635984078026,126.40057946941494,694.5551098616479,0.7117717717717718,0.7763873875788609
