exp_name,sigma_mean,sigma_variance,uncertainty_mean,uncertainty_variance,dc_distance,dc_correlation,dc_mean_change,bc_distance,bc_correlation,bc_mean_change,cc_distance,cc_correlation,cc_mean_change,ec_distance,ec_correlation,ec_mean_change
BA_500_1.0_0.6,1.6533333333333335,0.022044444444444443,0.992,0.007935999999999999,0.0019879759519038074,0.9644548018192073,0.4969939879759531,3.991919582136076e-06,1.0,0.0019959597910680985,0.000498491458310724,0.9644548018192073,0.0009939999198713626,0.0003768814417332551,0.9644548018192073,0.0100825084829001
BA_500_1.0_0.7,1.4228571428571426,0.008130612244897964,0.996,0.0039840000000000006,0.0019959919839679357,0.9880718562874251,0.4989979959919853,4.008016032064136e-06,1.0,0.002004008016032177,0.0005005015045135899,0.9880718562874251,0.000998007984064513,0.00037001280585963463,0.9880718562874251,0.010123382998503613
BA_500_1.0_0.8,1.245,0.006224999999999998,0.996,0.0039840000000000006,0.0019959919839679357,0.9880718562874251,0.4989979959919853,4.008016032064136e-06,1.0,0.002004008016032177,0.0005005015045135899,0.9880718562874251,0.000998007984064513,0.00037001280585963463,0.9880718562874251,0.010123382998503613
BA_500_1.0_0.9,1.1066666666666665,0.004918518518518516,0.996,0.0039840000000000006,0.0019959919839679357,0.9880718562874251,0.4989979959919853,4.008016032064136e-06,1.0,0.002004008016032177,0.0005005015045135899,0.9880718562874251,0.000998007984064513,0.00037001280585963463,0.9880718562874251,0.010123382998503613
BA_500_1.0_1.0,0.996,0.0039840000000000006,0.996,0.0039840000000000006,0.0019959919839679357,0.9880718562874251,0.4989979959919853,4.008016032064136e-06,1.0,0.002004008016032177,0.0005005015045135899,0.9880718562874251,0.000998007984064513,0.00037001280585963463,0.9880718562874251,0.010123382998503613
BA_600_0.1_0.1,1.0492053577784366,0.0015314697161136254,50.775044479914776,632.4655843419002,0.018770172509738454,1.0,0.10410493827160475,3.263944807919019e-05,0.9987907744188178,0.022898845892735862,0.006098824564097013,1.0,0.011069570626779364,0.00018361014110915305,0.9994016094489151,0.0008868163437788689
BA_600_0.1_0.2,1.0208555964184243,0.0003392412713787876,81.86285105626581,1666.2895512873354,0.036700055648302726,0.9999914999763888,0.2035493827160494,6.40375170796772e-05,0.9981086058572385,0.04477257298031238,0.012116470678931698,0.9999914999763888,0.02199179965223264,0.0003685851975226558,0.9990256084044677,0.0036002982576693976
BA_600_0.1_0.3,1.0158270833919703,0.00015117972404187635,106.75347975588006,2819.7615162306106,0.05482470784641068,0.9999914999763888,0.30407407407407394,9.390395606227832e-05,0.9970999919444221,0.06688391038696523,0.01837903252630789,0.9999914999763888,0.033358558926176105,0.00045609145405112926,0.9982333284259123,0.004475247972564234
BA_600_0.1_0.4,1.009766979970282,0.00010678478176209358,127.30036103712506,3952.304065482258,0.07262103505843072,0.9999998333328703,0.402777777777778,0.00012162684968492637,0.9967969911027531,0.08859470468431763,0.024698623477322223,0.9999998333328703,0.044828827931194734,0.0006255170478098507,0.997990938863719,0.006638083737220721
BA_600_0.1_0.5,1.0034409621918128,0.0001045798692003731,144.89966209320883,5055.939417470196,0.09013912075681693,0.999999555554321,0.4999382716049385,0.00015073431564685094,0.9966252128478135,0.10996605566870314,0.031100445685194537,0.999999555554321,0.05644834941854862,0.0008463809380043955,0.9971750477084659,0.009321243646762031
BA_600_0.1_0.6,1.0049198244751305,9.318088484455301e-05,161.11949206099862,6246.516526998983,0.10833611574846967,0.999999555554321,0.6008641975308643,0.00018116407315797595,0.9952479867999633,0.13216564833672775,0.037994910393251646,0.999999555554321,0.06896203352563936,0.0010971349382363571,0.9959840999558333,0.012778480286887706
BA_600_0.1_0.7,1.0044105781238066,0.00011808026811674736,175.46744305916542,7350.440812728014,0.12623817473567056,0.999998222217284,0.7001543209876546,0.00021276705686609147,0.9931933699815833,0.15400543109300752,0.04497355247845726,0.999998222217284,0.08162850238850199,0.0013620723232904042,0.9953883760788225,0.0162607546041586
BA_600_0.1_0.8,1.0019125186915234,0.00015282728350665765,188.2996682343404,8398.261238739893,0.14381190873678354,0.9999977777716049,0.7976234567901234,0.0002441439933250209,0.9916656435156764,0.1754446707399864,0.05204010195360205,0.9999977777716049,0.09445452610514381,0.0016309016858618737,0.9944828180078278,0.01992544152642377
