fraction,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,mean_se_degree_centrality,min_se_degree_centrality,max_se_degree_centrality,mean_se_betweenness_centrality,min_se_betweenness_centrality,max_se_betweenness_centrality,mean_se_closeness_centrality,min_se_closeness_centrality,max_se_closeness_centrality,mean_se_eigen_centrality,min_se_eigen_centrality,max_se_eigen_centrality
0.36,166997.66325040776,328.9119202865735,18.320954030469235,0.10516753590427265,0.07911915919923927,0.1394076759442125,1.284850868149207e-07,4.0726454411009615e-14,7.129993404185846e-07,0.011754228625082613,0.0083716716776088,0.015998426055520543,6.983512376160021e-06,1.2992409980244564e-12,7.29972379088014e-05
0.37,168722.91688829227,332.35443953436464,18.501021525153057,0.11108261214167134,0.08253398543688835,0.14621628635642653,1.346211863963959e-07,4.638731048015324e-12,7.245365480275156e-07,0.012557910786550393,0.008812687213267358,0.016977642361869917,7.0753590217514025e-06,1.950274909894052e-11,7.408388599325583e-05
0.38,170407.64459228373,335.7253169052852,18.763113917797764,0.11715668821975166,0.08838568298027759,0.15397178960742527,1.407474404906832e-07,3.4891841128040743e-12,7.454749842231172e-07,0.013397853478939181,0.009555848329282416,0.018114015804622623,7.058784324918004e-06,2.810569258249289e-12,7.382503091447288e-05
0.39,172053.7166230783,339.0160593126303,18.96038959089051,0.1233893573252936,0.095672248825402,0.16273430587744903,1.471146294469659e-07,1.238434983735695e-10,7.614293796482255e-07,0.014274094039400283,0.010403933671619516,0.019424830331533298,7.072245240742282e-06,5.4894676960891554e-12,7.223453870719158e-05
0.4,173662.876045843,342.22825895569935,19.146939515180343,0.12978984590195808,0.10196482769055343,0.17091065039012993,1.5371017024827946e-07,1.7815653705882114e-12,7.662248609624905e-07,0.015190202467470543,0.011176696553480109,0.020772371398046573,7.138196834653063e-06,1.3671156064769018e-12,7.576858654926967e-05
0.41,175236.75006287938,345.3743928796364,19.37923255760405,0.1363510517524531,0.10453797140483827,0.17844070296522752,1.6038375539330246e-07,3.48968197430656e-14,7.848512444697967e-07,0.016146067459482782,0.011787874090047404,0.021845935718675023,7.149833548638906e-06,2.00773563912901e-12,8.072272657182957e-05
0.42,176776.86010608872,348.4545585221357,19.628194111459287,0.14307423339255138,0.10978045112179248,0.18613308002697396,1.6718597396434757e-07,9.6601599338916e-11,8.099227112363486e-07,0.01714309665218095,0.01253542011967857,0.023065303281012244,7.147370502913363e-06,3.1974176014885706e-13,7.570065166025391e-05
0.43,178284.6308492885,351.4632437923286,19.81065541038867,0.14996168340512633,0.11447283118954789,0.19398778157536922,1.742627045782924e-07,3.1564502215145444e-11,8.441567882660808e-07,0.0181824337043006,0.013203615223319127,0.024333293568265864,7.222148420060051e-06,4.1442279109190964e-13,7.583000953643833e-05
0.44,179761.3982767482,354.41396902785203,20.01362006739246,0.1570082234386535,0.12204496789081375,0.20020921822723625,1.8143125522056598e-07,4.397823001840496e-11,8.84004139865433e-07,0.019264868595043172,0.0138666457785204,0.025354096680466526,7.2571346718966424e-06,1.672683378528556e-12,7.451401930032748e-05
0.45,181208.41692456507,357.3053162917602,20.21019624204314,0.16421662302943546,0.12556700844989133,0.2065288511734958,1.8876893036260617e-07,1.7164663755650673e-10,9.281776830316748e-07,0.02039222281509999,0.014528828706559922,0.02640597199325285,7.288913087707981e-06,1.0425381639271002e-13,7.66537304865092e-05
0.46,182626.8663949689,360.13564130232965,20.385746982615192,0.17159097636174675,0.13643373102832562,0.21387152918684457,1.963366364830088e-07,1.7928026348989934e-11,9.480908959656396e-07,0.02156680625949037,0.015467213200090745,0.02778156983644409,7.358543820918376e-06,1.447477987219152e-13,8.08287990536634e-05
0.47,184017.85722974382,362.9116011426427,20.57788089120971,0.17912950387825202,0.1424136849562275,0.21946270594919248,2.0403049987920738e-07,2.358507279545048e-13,9.7405654008035e-07,0.022790014478734997,0.016529916200920515,0.02996564859236832,7.4292359652452456e-06,2.188747834657742e-12,8.299229521326579e-05
0.48,185382.43621722917,365.63591622619646,20.754954321790894,0.18682556430304123,0.14929443958472988,0.23086149212275342,2.1188127804707152e-07,3.0874288558770666e-12,1.0002303626527577e-06,0.024061122452591545,0.017756612358258414,0.030999238230909,7.480783411679424e-06,2.6300642070647555e-12,8.000969743146261e-05
0.49,186721.5911974245,368.31178359564825,20.934010593834422,0.19467944020096106,0.15554693832972105,0.23764405045686327,2.1986745014006252e-07,1.447813305001656e-11,1.0153705320917175e-06,0.025381840665187855,0.018451987975765017,0.03205934779391597,7.505057950737807e-06,1.7046922212546872e-11,8.285364237238726e-05
0.5,188035.96560599701,370.9422062235985,21.131644308221606,0.20268846624402131,0.162734305877449,0.2435358281204127,2.2793738778086537e-07,3.835920227471367e-10,1.044455590212452e-06,0.026753396373455075,0.019408819218474982,0.03390507006702155,7.487062673357452e-06,1.5944788284206873e-11,8.390574443431347e-05
0.51,189327.02685527236,373.51999960392357,21.28157473538078,0.2108667145624099,0.16843670497324154,0.25250876502127756,2.3628059729367632e-07,1.0254094919229022e-09,1.0669609997245416e-06,0.02818033920104782,0.020400402048119423,0.03561422372321854,7.5361530589310515e-06,1.844998950310519e-11,8.799579222155078e-05
0.52,190595.3153973235,376.0505763267059,21.429424220148217,0.21921027333639936,0.16843670497324154,0.2606209813417021,2.448094267999056e-07,1.2982289432090108e-09,1.079774112340034e-06,0.029664101301691625,0.02195502994972408,0.037641497540433576,7.597018590524074e-06,4.686091249096001e-11,8.579262958813738e-05
0.53,191841.62312016913,378.5412419669965,21.628410040279764,0.22771675379082765,0.17844070296522746,0.2719846974101229,2.534131013948792e-07,2.2009725114560586e-09,1.1006479105436004e-06,0.031206491437736145,0.023593344803239175,0.039502573461283184,7.615861570995341e-06,1.713517192820897e-10,8.685359227449677e-05
0.54,193066.70119158848,380.9885235507884,21.803906851743406,0.23638298158017818,0.18355091828565298,0.28146264382500624,2.6220188649918586e-07,2.2713995622541035e-09,1.1289294079656158e-06,0.0328072276165479,0.024654223808742253,0.04106426601285147,7.64473113535184e-06,2.0293405105977788e-11,8.891102792262224e-05
0.55,194271.2628117822,383.3923663138912,21.94214498513985,0.24521017914811646,0.19222826430033632,0.29110291472653843,2.712009336287714e-07,3.773767002494251e-09,1.1570761657002374e-06,0.034468372887231785,0.026179601854285542,0.04302049500877398,7.700708873596118e-06,5.917871211552175e-11,8.98036307016541e-05
0.56,195455.9857366764,385.7594444515557,22.114140283473873,0.25420079338597745,0.20380841301762226,0.30642153665176686,2.803056419029218e-07,5.816272690893057e-09,1.1863269181033609e-06,0.03619411362350292,0.026672380824255267,0.0467133689763545,7.726705264201955e-06,2.9893482587114904e-12,8.566252107277886e-05
0.57,196621.51459448735,388.08922085822735,22.28274005399571,0.2633487140794436,0.2092673253834415,0.32213294375456536,2.895647230190133e-07,6.3243298466924325e-09,1.2005478328667352e-06,0.03798323129948933,0.028238196574628352,0.05014627928393343,7.738135152091646e-06,9.813405984581826e-12,8.543901090771682e-05
0.58,197768.4630155937,390.3811773783237,22.46130849653871,0.2726622157693218,0.2129466804141479,0.33244054865676487,2.9896401375930863e-07,6.947001317799671e-09,1.2224092699862295e-06,0.03984128047663291,0.029876299561182092,0.05245734734206874,7.762678864658447e-06,1.3081235133521688e-12,8.661873549242037e-05
